,entry_time,entry_price,stop,tp,reward,status,direction,pnl,exit_time,exit_price
0,2025-07-24 23:48:00+00:00,6629.75,6631.242857142857,6626.465714285714,165.0,LOSS,SHORT,-75.0,2025-07-25 00:01:00+00:00,6631.242857142857
1,2025-07-25 01:01:00+00:00,6632.75,6633.771428571428,6630.5028571428575,165.0,LOSS,SHORT,-75.0,2025-07-25 01:10:00+00:00,6633.771428571428
2,2025-07-25 03:16:00+00:00,6639.25,6640.467857142857,6636.570714285715,165.0,WIN,SHORT,165.0,2025-07-25 04:03:00+00:00,6636.570714285715
3,2025-07-25 05:15:00+00:00,6631.5,6632.685714285714,6628.891428571428,165.0,LOSS,SHORT,-75.0,2025-07-25 06:03:00+00:00,6632.685714285714
4,2025-07-25 08:40:00+00:00,6626.0,6627.075,6623.635,165.0,WIN,SHORT,165.0,2025-07-25 09:13:00+00:00,6623.635
5,2025-07-25 09:33:00+00:00,6626.75,6627.882142857143,6624.259285714286,165.0,WIN,SHORT,165.0,2025-07-25 09:48:00+00:00,6624.259285714286
6,2025-07-25 14:40:00+00:00,6631.0,6633.917857142857,6624.580714285714,165.0,LOSS,SHORT,-75.0,2025-07-25 14:46:00+00:00,6633.917857142857
7,2025-07-28 00:51:00+00:00,6669.75,6670.792857142857,6667.455714285714,165.0,WIN,SHORT,165.0,2025-07-28 01:08:00+00:00,6667.455714285714
8,2025-07-28 04:33:00+00:00,6670.75,6671.585714285714,6668.9114285714295,165.0,LOSS,SHORT,-75.0,2025-07-28 04:50:00+00:00,6671.585714285714
9,2025-07-28 16:28:00+00:00,6646.5,6650.246428571429,6638.257857142857,165.0,WIN,SHORT,165.0,2025-07-28 17:17:00+00:00,6638.257857142857
10,2025-07-29 00:31:00+00:00,6646.5,6647.210714285714,6644.936428571429,165.0,LOSS,SHORT,-75.0,2025-07-29 00:35:00+00:00,6647.210714285714
11,2025-07-29 00:32:00+00:00,6646.75,6647.460714285714,6645.186428571429,165.0,LOSS,SHORT,-75.0,2025-07-29 01:09:00+00:00,6647.460714285714
12,2025-07-29 05:06:00+00:00,6651.0,6651.692857142857,6649.475714285714,165.0,LOSS,SHORT,-75.0,2025-07-29 05:13:00+00:00,6651.692857142857
13,2025-07-29 09:10:00+00:00,6657.0,6657.785714285715,6655.271428571427,165.0,LOSS,SHORT,-75.0,2025-07-29 09:12:00+00:00,6657.785714285715
14,2025-07-29 10:39:00+00:00,6659.75,6660.825,6657.385,165.0,LOSS,SHORT,-75.0,2025-07-29 11:01:00+00:00,6660.825
15,2025-07-29 18:44:00+00:00,6628.5,6632.053571428572,6620.682142857143,165.0,WIN,SHORT,165.0,2025-07-29 19:35:00+00:00,6620.682142857143
16,2025-07-30 02:52:00+00:00,6632.0,6632.9857142857145,6629.831428571428,165.0,LOSS,SHORT,-75.0,2025-07-30 03:10:00+00:00,6632.9857142857145
17,2025-07-30 06:32:00+00:00,6634.25,6635.882142857143,6630.659285714286,165.0,WIN,SHORT,165.0,2025-07-30 07:01:00+00:00,6630.659285714286
18,2025-07-30 07:38:00+00:00,6629.5,6632.278571428571,6623.387142857144,165.0,LOSS,SHORT,-75.0,2025-07-30 07:43:00+00:00,6632.278571428571
19,2025-07-30 08:59:00+00:00,6628.75,6630.164285714286,6625.638571428571,165.0,LOSS,SHORT,-75.0,2025-07-30 09:15:00+00:00,6630.164285714286
20,2025-07-30 09:15:00+00:00,6630.5,6631.442857142857,6628.425714285714,165.0,LOSS,SHORT,-75.0,2025-07-30 09:18:00+00:00,6631.442857142857
21,2025-07-30 11:10:00+00:00,6633.75,6634.353571428572,6632.422142857142,165.0,WIN,SHORT,165.0,2025-07-30 11:14:00+00:00,6632.422142857142
22,2025-07-30 11:11:00+00:00,6633.5,6634.353571428572,6631.6221428571425,165.0,LOSS,SHORT,-75.0,2025-07-30 11:35:00+00:00,6634.353571428572
23,2025-07-30 11:37:00+00:00,6634.5,6635.592857142857,6632.095714285715,165.0,WIN,SHORT,165.0,2025-07-30 11:43:00+00:00,6632.095714285715
24,2025-07-30 11:40:00+00:00,6634.0,6635.592857142857,6630.495714285716,165.0,LOSS,SHORT,-75.0,2025-07-30 11:49:00+00:00,6635.592857142857
25,2025-07-30 15:50:00+00:00,6627.25,6629.867857142857,6621.490714285714,165.0,LOSS,SHORT,-75.0,2025-07-30 15:54:00+00:00,6629.867857142857
26,2025-07-31 03:49:00+00:00,6673.75,6674.271428571428,6672.602857142858,165.0,LOSS,SHORT,-75.0,2025-07-31 03:52:00+00:00,6674.271428571428
